"X","Y","osm_id","type","name","brand","address","com_nom","last_update","cat_mag"
-0.5775818,44.8438558004824,"node/8407657665","clothes","Zadig & Voltaire","Zadig & Voltaire","25 Rue Mably","Bordeaux","2021-02-09",1
-0.5773572,44.8409352004826,"node/9856664381","clothes","Karl Marc John","Karl Marc John",,"Bordeaux","2022-06-29",1
-0.5518032,44.8872618004786,"node/280990282","fuel",,,,"Bordeaux","2020-01-02",0
-0.5653672,44.8336522004833,"node/6252292422","convenience","Tista",,"9 Rue Camille Sauvageau","Bordeaux","2020-04-03",0
-0.5720472,44.836902000483,"node/2485601499","cafe","Kokomo",,"12 Place Fernand Lafargue","Bordeaux","2015-12-05",0
-0.5870712,44.8396668004828,"node/4159016589","hairdresser","Esprit tendance",,,"Bordeaux","2021-06-20",0
-0.5743477,44.8283510004837,"node/7252718926","bicycle","Fitch Bike Sud Ouest",,,"Bordeaux","2021-01-08",0
-0.5751294,44.8401685004827,"node/5527709460","clothes","Superdry","Superdry",,"Bordeaux","2020-05-24",1
-0.5707483,44.8390913004828,"node/9737941818","bar","Ayawasca",,"19 Rue des Bahutiers","Bordeaux","2022-05-13",0
-0.5715599,44.8378205004829,"node/7193049787","bar","Sputnik Bar",,"55 Cours d'Alsace et Lorraine","Bordeaux","2020-02-07",0
-0.5568843,44.859968000481,"node/9163414772","pub","Hydrophobie",,"16b Rue Bourbon","Bordeaux","2021-10-10",0
-0.5928625,44.8235257004841,"node/7252368471","hairdresser","Julia Rio",,,"Bordeaux","2020-02-29",0
-0.5940465,44.8219540004843,"node/3373322035","bar","Bar Le Mustang - Tabac Loto Presse",,,"Bordeaux","2020-04-06",0
-0.5831408,44.8415823004826,"node/8097273249","restaurant","Atom",,,"Bordeaux","2020-11-09",0
-0.5711006,44.8426354004825,"node/9734890176","estate_agent","Agence Jane",,"1 Cours du Chapeau Rouge","Bordeaux","2022-05-12",0
-0.5710891,44.8340086004832,"node/2485521332","cafe","Art Gallery Café",,"24 Rue du Mirail","Bordeaux","2020-10-20",0
-0.5649516,44.8139749004849,"node/2515962382","hairdresser","Sylvie Coiffure",,,"Bordeaux","2021-07-17",0
-0.5790281,44.8429289004825,"node/7817517907","hardware","Céjeanne",,,"Bordeaux","2020-08-16",0
-0.5734515,44.8526278004816,"node/4447706774","photo","Photo Frédéric",,,"Bordeaux","2017-06-18",0
-0.5744375,44.8389356004828,"node/2238492085","clothes","Quiksilver","Quiksilver",,"Bordeaux","2020-05-24",1
-0.5888556,44.825219100484,"node/2812000986","deli","Saumon fumé bordelais",,"78 Boulevard George V","Bordeaux","2020-04-04",0
-0.5597765,44.8396084004828,"node/7881127306","bar","Punta Cana",,,"Bordeaux","2022-03-18",0
-0.5712686,44.836846300483,"node/7197239149","restaurant","Le Lion Lilas",,,"Bordeaux","2021-03-17",0
-0.5531535,44.8211424004843,"node/9184086817","restaurant","La Planque",,"2 Allée de la Pacific","Bordeaux","2021-10-19",0
-0.572348,44.8407060004827,"node/2895909901","restaurant","Totto",,,"Bordeaux","2020-04-12",0
-0.5578822,44.8634051004807,"node/5514308903","food_court","Standby Coffee",,,"Bordeaux","2021-12-08",0
-0.5668159,44.8321940004834,"node/4272300198","restaurant","La Soupe au caillou",,"6 Place du Maucaillou","Bordeaux","2019-11-15",0
-0.5822746,44.8217520004843,"node/567989620","pharmacy","La Pharmacie Verte",,,"Bordeaux","2020-10-02",0
-0.5815131,44.8425685004825,"node/3889213809","bar","The City",,,"Bordeaux","2016-12-11",0
-0.5741639,44.8552306004814,"node/2509120031","bar","La Plantation",,"31 Rue Camille Godard","Bordeaux","2020-03-09",0
-0.5750811,44.8400982004827,"node/7785723919","confectionery","Lolly's",,,"Bordeaux","2020-08-04",0
-0.5583703,44.8429863004825,"node/9737941917","fast_food","Cosy Tacos",,"57 Allée Serr","Bordeaux","2022-05-13",0
-0.5707046,44.8391011004828,"node/2562649248","cafe","Le Wine Bar",,,"Bordeaux","2017-11-19",0
-0.5723084,44.8398645004827,"node/3336450809","restaurant","West Coast Burger",,,"Bordeaux","2019-12-09",0
-0.5649165,44.8551490004814,"node/5178050538","cafe","Finger Food",,,"Bordeaux","2017-10-20",0
-0.5724142,44.8182045004846,"node/2506986756","laundry","Pressing Nansouty",,,"Bordeaux","2013-12-14",0
-0.573453847242848,44.8420140801772,"way/79758668","bank","CIC","CIC","42 cours du Chapeau Rouge","Bordeaux","2022-05-12",1
-0.5680221,44.8302706004836,"node/4580909690","restaurant","Ô LÈVE TÔT",,,"Bordeaux","2016-12-30",0
-0.5672052,44.8558371004814,"node/2897082472","restaurant","La Tradizione",,,"Bordeaux","2022-10-28",0
-0.5797373,44.8444143004823,"node/9963731726","restaurant","YAKO",,,"Bordeaux","2022-08-19",0
-0.567684294159706,44.8623163794751,"way/154358816","doityourself","CEDEO",,,"Bordeaux","2021-10-20",0
-0.5810994,44.8299767004836,"node/4637441490","restaurant","Burdiga Pizza",,,"Bordeaux","2020-04-03",0
-0.5839696,44.8492814004819,"node/7388656446","greengrocer","Le Paillon",,,"Bordeaux","2020-04-10",0
-0.5465091,44.8888715004785,"node/7500509375","restaurant","L'Atelier du Goût",,,"Bordeaux","2020-05-09",0
-0.5815033,44.8390564004828,"node/8097273234","convenience","Casino Shop","Casino Shop",,"Bordeaux","2021-04-08",1
-0.5811967,44.8635666004807,"node/9312687396","fast_food","EatSalad",,,"Bordeaux","2021-12-05",0
-0.5780564,44.8310018004835,"node/7098360092","estate_agent","Laforêt","Laforêt",,"Bordeaux","2019-12-31",1
-0.5618001,44.8568591004813,"node/4905497009","restaurant","Chai les Copains",,,"Bordeaux","2020-03-02",0
-0.5733195,44.8406263004827,"node/6917942907","music","La Machine à Musique - Lignerolles",,,"Bordeaux","2019-10-26",0
-0.560451,44.8282147004837,"node/1881716667","fast_food","FFC",,,"Bordeaux","2022-09-27",0
-0.6002952,44.8474510004821,"node/9824996420","estate_agent","Sergic",,,"Bordeaux","2022-06-17",0
-0.5611014,44.8667702004804,"node/9442245617","restaurant","231 East Street",,"17 Quai Virginie Heriot","Bordeaux","2022-01-23",0
-0.5798071,44.8440121004824,"node/9963731725","estate_agent","Bordeaux Properties",,,"Bordeaux","2022-08-19",0
-0.5773059,44.8410115004826,"node/9856664380","clothes","Arthur",,,"Bordeaux","2022-06-29",0
-0.5823868,44.8391462004828,"node/3052422655","bank","Caisse d'Epargne - Bordeaux Les Beaux-Arts","Caisse d'Épargne","Rue Bonnaffé","Bordeaux","2018-04-21",1
-0.5809638,44.8404618004827,"node/4794880824","tobacco","Grand Tabac Presse Gambetta",,,"Bordeaux","2021-04-08",0
-0.5668879,44.8313382004835,"node/5922149785","restaurant","Le Clandestin",,"56 Rue du Hamel","Bordeaux","2018-09-22",0
-0.5713098,44.8515979004817,"node/7411606881","interior_decoration","Nos minis",,"68 Rue Notre-Dame","Bordeaux","2020-04-16",0
-0.5583361,44.8242322004841,"node/2485008767","restaurant","L'En K",,,"Bordeaux","2019-10-03",0
-0.6009365,44.8399900004827,"node/2712410124","restaurant","Le Jean Bar",,,"Bordeaux","2014-09-22",0
-0.5687794,44.8300831004836,"node/7252673943","restaurant","Sushi Chef",,,"Bordeaux","2020-02-29",0
-0.5793005,44.8396104004828,"node/7371013092","confectionery","Noisettines du Médoc",,"34 Rue des Remparts","Bordeaux","2020-09-29",0
-0.6230042,44.8582857004811,"node/2773962909","restaurant","Le Komptoir Caudéran",,"341 Avenue du Maréchal de Lattre de Tassigny","Bordeaux","2021-09-16",0
-0.5806486,44.8417513004826,"node/6033891487","bank","La Banque Postale","La Banque Postale",,"Bordeaux","2020-12-18",1
-0.544378261354908,44.8493638918198,"way/77956141","supermarket","Carrefour city","Carrefour Market",,"Bordeaux","2022-08-13",1
-0.5690234,44.8356535004831,"node/4212257193","beverages","La Cave des Moines",,,"Bordeaux","2020-04-03",0
-0.6121982,44.8324817004834,"node/8127846931","insurance","AXA",,,"Bordeaux","2022-02-21",0
-0.5682698,44.8296252004836,"node/1752267446","bank","BCP","BCP",,"Bordeaux","2020-04-19",1
-0.5730124,44.8350686004831,"node/2486862291","restaurant","Il Meneghino",,"123 Cours Victor Hugo","Bordeaux","2020-01-27",0
-0.574276,44.8338281004833,"node/7944804739","pharmacy","Pharmacie Pasteur",,"34 Cours Pasteur","Bordeaux","2020-09-26",0
-0.5709739,44.8381168004829,"node/7418537240","bar","Cancan",,"7 Rue du Cerf Volant","Bordeaux","2020-04-19",0
-0.5794966,44.8446021004823,"node/6033939191","toys","Windy Morning",,,"Bordeaux","2020-04-25",0
-0.5563564,44.8737955004798,"node/7082776548","distillery","Distillerie Moon Harbor",,,"Bordeaux","2020-01-02",0
