"Département (Champ géographique)","Code Commune (Champ géographique)","Nom Commune (Champ géographique)","Section (Références cadastrales)","Bâtiment (Identification du local)","N° voirie (Adresse du local)","Indice de répétition (Adresse du local)","Nature voie (Adresse du local)","Nom voie (Adresse du local)","N° MAJIC (Propriétaire(s) du local)","N° SIREN (Propriétaire(s) du local)","Forme juridique (Propriétaire(s) du local)","Forme juridique abrégée (Propriétaire(s) du local)","Dénomination (Propriétaire(s) du local)","Adresse","Adresse_complete"
33,63,"BORDEAUX","AB","B",199,"T","QUAI","DE BRAZZA","PBC6HF","458204963",5546,"SA","DOMOFRANCE","QUAI DE BRAZZA","199 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","B",199,"T","QUAI","DE BRAZZA","PBHMSZ","263300626",7361,"CCAS","CENTRE COMMUNAL DACTION SOCIALE","QUAI DE BRAZZA","199 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","A",4,"","IMPASSE","MARTIN VIDEAU","PBC6HF","458204963",5546,"SA","DOMOFRANCE","IMPASSE MARTIN VIDEAU","4 IMPASSE MARTIN VIDEAU"
33,63,"BORDEAUX","AB","A",202,"","QUAI","DE BRAZZA","PBJKGC","504405416",6540,"SCI","ALONSO SARRAUTE","QUAI DE BRAZZA","202 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","B",201,"T","QUAI","DE BRAZZA","PBJPHV","833681711",6540,"SCI","KIPARISSE","QUAI DE BRAZZA","201 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","A",202,"B","QUAI","DE BRAZZA","PBJKGC","504405416",6540,"SCI","ALONSO SARRAUTE","QUAI DE BRAZZA","202 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","B",202,"B","QUAI","DE BRAZZA","PBJKGC","504405416",6540,"SCI","ALONSO SARRAUTE","QUAI DE BRAZZA","202 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","A",190,"","QUAI","DE BRAZZA","PBHR3B","316514660",5710,"SAS","PRODUITS JOCK SA","QUAI DE BRAZZA","190 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","A",164,"","QUAI","DE BRAZZA","PBGTJM","413074709",6540,"SCI","LARREY","QUAI DE BRAZZA","164 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","B",179,"","QUAI","DE BRAZZA","PBDF84","421761289",6540,"SCI","SCI DU TRIANGLE","QUAI DE BRAZZA","179 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","C",179,"","QUAI","DE BRAZZA","PBDF84","421761289",6540,"SCI","SCI DU TRIANGLE","QUAI DE BRAZZA","179 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","D",179,"","QUAI","DE BRAZZA","PBDF84","421761289",6540,"SCI","SCI DU TRIANGLE","QUAI DE BRAZZA","179 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","E",179,"","QUAI","DE BRAZZA","PBDF84","421761289",6540,"SCI","SCI DU TRIANGLE","QUAI DE BRAZZA","179 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","F",179,"","QUAI","DE BRAZZA","PBDF84","421761289",6540,"SCI","SCI DU TRIANGLE","QUAI DE BRAZZA","179 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","G",179,"","QUAI","DE BRAZZA","PBDF84","421761289",6540,"SCI","SCI DU TRIANGLE","QUAI DE BRAZZA","179 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","A",183,"","QUAI","DE BRAZZA","PBDFDX","419543574",6540,"SCI","BRAZZA ZFU","QUAI DE BRAZZA","183 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","B",183,"","QUAI","DE BRAZZA","PBDFDX","419543574",6540,"SCI","BRAZZA ZFU","QUAI DE BRAZZA","183 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","C",183,"","QUAI","DE BRAZZA","PBDFDX","419543574",6540,"SCI","BRAZZA ZFU","QUAI DE BRAZZA","183 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","D",183,"","QUAI","DE BRAZZA","PBDFDX","419543574",6540,"SCI","BRAZZA ZFU","QUAI DE BRAZZA","183 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","E",183,"","QUAI","DE BRAZZA","PBDFDX","419543574",6540,"SCI","BRAZZA ZFU","QUAI DE BRAZZA","183 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","F",183,"","QUAI","DE BRAZZA","PBDFDX","419543574",6540,"SCI","BRAZZA ZFU","QUAI DE BRAZZA","183 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","G",183,"","QUAI","DE BRAZZA","PBDFDX","419543574",6540,"SCI","BRAZZA ZFU","QUAI DE BRAZZA","183 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","H",183,"","QUAI","DE BRAZZA","PBDFDX","419543574",6540,"SCI","BRAZZA ZFU","QUAI DE BRAZZA","183 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","I",183,"","QUAI","DE BRAZZA","PBDFDX","419543574",6540,"SCI","BRAZZA ZFU","QUAI DE BRAZZA","183 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","J",183,"","QUAI","DE BRAZZA","PBDFDX","419543574",6540,"SCI","BRAZZA ZFU","QUAI DE BRAZZA","183 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","TA",180,"","QUAI","DE BRAZZA","P9MBBH","444608442",5699,"SA","ENEDIS","QUAI DE BRAZZA","180 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","TA",180,"","QUAI","DE BRAZZA","P998MW","444608442",5699,"SA","ENEDIS","QUAI DE BRAZZA","180 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","A",199,"B","QUAI","DE BRAZZA","PBJHGS","827765256",6540,"SCI","CABINET BRAZZA","QUAI DE BRAZZA","199 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","A",210,"","QUAI","DE BRAZZA","PBC8GM","353242381",6540,"SCI","DU 209 QUAI DE BRAZZA","QUAI DE BRAZZA","210 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","A",209,"","QUAI","DE BRAZZA","PBC8GM","353242381",6540,"SCI","DU 209 QUAI DE BRAZZA","QUAI DE BRAZZA","209 QUAI DE BRAZZA"
33,63,"BORDEAUX","AB","B",209,"","QUAI","DE BRAZZA","PBC8GM","353242381",6540,"SCI","DU 209 QUAI DE BRAZZA","QUAI DE BRAZZA","209 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","A",123,"","QUAI","DE BRAZZA","PBDC3G","399240662",5710,"SAS","FINADAV","QUAI DE BRAZZA","123 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","B",123,"","QUAI","DE BRAZZA","PBDC3G","399240662",5710,"SAS","FINADAV","QUAI DE BRAZZA","123 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","C",123,"","QUAI","DE BRAZZA","PBDC3G","399240662",5710,"SAS","FINADAV","QUAI DE BRAZZA","123 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","D",123,"","QUAI","DE BRAZZA","PBDC3G","399240662",5710,"SAS","FINADAV","QUAI DE BRAZZA","123 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","E",123,"","QUAI","DE BRAZZA","PBDC3G","399240662",5710,"SAS","FINADAV","QUAI DE BRAZZA","123 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","F",123,"","QUAI","DE BRAZZA","PBDC3G","399240662",5710,"SAS","FINADAV","QUAI DE BRAZZA","123 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","TA",9001,"","QUAI","DE BRAZZA","P9MBBH","444608442",5699,"SA","ENEDIS","QUAI DE BRAZZA","9001 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","TA",9001,"","QUAI","DE BRAZZA","P998MW","444608442",5699,"SA","ENEDIS","QUAI DE BRAZZA","9001 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","C",162,"","QUAI","DE BRAZZA","PBDSMP","342012390",5599,"SA","CONSTRUCTION NAVALE BORDEAUX","QUAI DE BRAZZA","162 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","D",162,"","QUAI","DE BRAZZA","PBDSMP","342012390",5599,"SA","CONSTRUCTION NAVALE BORDEAUX","QUAI DE BRAZZA","162 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","E",162,"","QUAI","DE BRAZZA","PBDSMP","342012390",5599,"SA","CONSTRUCTION NAVALE BORDEAUX","QUAI DE BRAZZA","162 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","F",162,"","QUAI","DE BRAZZA","PBDSMP","342012390",5599,"SA","CONSTRUCTION NAVALE BORDEAUX","QUAI DE BRAZZA","162 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","G",162,"","QUAI","DE BRAZZA","PBDSMP","342012390",5599,"SA","CONSTRUCTION NAVALE BORDEAUX","QUAI DE BRAZZA","162 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","H",162,"","QUAI","DE BRAZZA","PBDSMP","342012390",5599,"SA","CONSTRUCTION NAVALE BORDEAUX","QUAI DE BRAZZA","162 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","I",162,"","QUAI","DE BRAZZA","PBDSMP","342012390",5599,"SA","CONSTRUCTION NAVALE BORDEAUX","QUAI DE BRAZZA","162 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","J",162,"","QUAI","DE BRAZZA","PBDSMP","342012390",5599,"SA","CONSTRUCTION NAVALE BORDEAUX","QUAI DE BRAZZA","162 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","K",162,"","QUAI","DE BRAZZA","PBDSMP","342012390",5599,"SA","CONSTRUCTION NAVALE BORDEAUX","QUAI DE BRAZZA","162 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","M",162,"","QUAI","DE BRAZZA","PBDSMP","342012390",5599,"SA","CONSTRUCTION NAVALE BORDEAUX","QUAI DE BRAZZA","162 QUAI DE BRAZZA"
33,63,"BORDEAUX","AC","N",162,"","QUAI","DE BRAZZA","PBDSMP","342012390",5599,"SA","CONSTRUCTION NAVALE BORDEAUX","QUAI DE BRAZZA","162 QUAI DE BRAZZA"
