"Département (Champ géographique)","Code Commune (Champ géographique)","Nom Commune (Champ géographique)","Section (Références cadastrales)","Bâtiment (Identification du local)","N° voirie (Adresse du local)","Indice de répétition (Adresse du local)","Nature voie (Adresse du local)","Nom voie (Adresse du local)","N° MAJIC (Propriétaire(s) du local)","N° SIREN (Propriétaire(s) du local)","Forme juridique (Propriétaire(s) du local)","Forme juridique abrégée (Propriétaire(s) du local)","Dénomination (Propriétaire(s) du local)","Adresse","Adresse_complete"
59,350,"LILLE","AB","B",42,"","RUE","DU MAGASIN","PBBZV3","U19789971",9900,"","UNITE DE SOUTIEN INFRASTRUCTURE DE LA DEFENSE","RUE DU MAGASIN","42 RUE DU MAGASIN"
59,350,"LILLE","AB","B",42,"","RUE","DU MAGASIN","P99999","U23752501",7113,"ETAT","ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT","RUE DU MAGASIN","42 RUE DU MAGASIN"
59,350,"LILLE","AB","A",86,"","","FACADE DE L ESPLANADE","PBBZV3","U19789971",9900,"","UNITE DE SOUTIEN INFRASTRUCTURE DE LA DEFENSE"," FACADE DE L ESPLANADE","86  FACADE DE L ESPLANADE"
59,350,"LILLE","AB","A",86,"","","FACADE DE L ESPLANADE","P99999","U23752501",7113,"ETAT","ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT"," FACADE DE L ESPLANADE","86  FACADE DE L ESPLANADE"
59,350,"LILLE","AB","A",9000,"","AVENUE","ADOLPHE MAX","P9MBBC","444608442",5699,"SA","ENEDIS","AVENUE ADOLPHE MAX","9000 AVENUE ADOLPHE MAX"
59,350,"LILLE","AB","A",9000,"","AVENUE","ADOLPHE MAX","P998MW","444608442",5699,"SA","ENEDIS","AVENUE ADOLPHE MAX","9000 AVENUE ADOLPHE MAX"
59,350,"LILLE","AB","A",71,"","RUE","SAINT SEBASTIEN","PBHXDB","422818625",5499,"SARL","SARL DU BOURG","RUE SAINT SEBASTIEN","71 RUE SAINT SEBASTIEN"
59,350,"LILLE","AB","C",30,"","RUE","DU GUET","PBHRG6","529920753",6540,"SCI","SCI CANFA","RUE DU GUET","30 RUE DU GUET"
59,350,"LILLE","AB","E",42,"","RUE","DE LA CENSE AUX BLES","PBH8G2","511725129",6540,"SCI","SCI DU HAUT PUITS","RUE DE LA CENSE AUX BLES","42 RUE DE LA CENSE AUX BLES"
59,350,"LILLE","AB","E",42,"","RUE","DE LA CENSE AUX BLES","PBB845","395189772",6540,"SCI","SCI DU 114 RUE DE LA RUE DE CAMIERS","RUE DE LA CENSE AUX BLES","42 RUE DE LA CENSE AUX BLES"
59,350,"LILLE","AB","F",78,"","RUE","DE LA CENSE AUX BLES","PBJQKN","818501447",6540,"SCI","SCI VETERINAIRE DES QUAIS","RUE DE LA CENSE AUX BLES","78 RUE DE LA CENSE AUX BLES"
