X,Y,osm_id,type,name,brand,address,Code Postal,search_address,cat_mag,Supermarket
-0.5688267,44.8385671004828,node/3329834697,alcohol,,,1 PLACE DU PALAIS,33000,PLACE DU PALAIS,0,0
-0.5709281,44.8397552004827,node/7948794808,bar,Aux 4 coins du vin,,8 RUE DE LA DEVISE,33000,RUE DE LA DEVISE,0,0
-0.5664614,44.8315308004834,node/7197239147,restaurant,La Toile Cirée,,21 RUE SAUMENUDE,33800,RUE SAUMENUDE,0,0
-0.5620739,44.8416179004826,node/864586661,restaurant,Ristorante Del Arte,Ristorante Del Arte,7 QUAI DES QUEYRIES,33100,QUAI DES QUEYRIES,0,0
-0.5714784,44.8550048004814,node/4745476023,fast_food,La Baraka,,4 COURS BALGUERIE STUTTENBERG,33300,COURS BALGUERIE STUTTENBERG,0,0
-0.5738061,44.8411138004826,node/4975262021,restaurant,L'Alysson,,64 RUE SAINT REMI,33000,RUE SAINT REMI,0,0
-0.5745215,44.8311698004835,node/4637436992,restaurant,Adey Abeba,,83 COURS ARISTIDE BRIAND,33000,COURS ARISTIDE BRIAND,0,0
-0.5607124,44.8788131004794,node/7091923533,restaurant,Memphis Bordeaux Lac,,1 RUE DUGUAY TROUIN,33300,RUE DUGUAY TROUIN,0,0
-0.5666732,44.8630135004807,node/2295504766,bakery,Le Fournil Saint Louis & Banette,,204 COURS SAINT LOUIS,33300,COURS SAINT LOUIS,0,0
-0.5725135,44.8199715004844,node/507550623,bank,Crédit Mutuel Du Sud Ouest,Crédit Mutuel,265 COURS DE LA SOMME,33800,COURS DE LA SOMME,0,0
-0.566207,44.8303148004835,node/1881702753,seafood,Top Langouste,,12 RUE JULES GUESDE,33800,RUE JULES GUESDE,0,0
-0.566749,44.8629075004808,node/6982672574,laundry,,,204 COURS SAINT LOUIS,33300,COURS SAINT LOUIS,0,0
-0.5707009,44.8433886004824,node/7257665269,cafe,Le Miroir,,1 QUAI LOUIS XVIII,33000,QUAI LOUIS XVIII,0,0
-0.5731044,44.8339818004832,node/8426006517,convenience,Asia shop,,208 RUE SAINTE CATHERINE,33000,RUE SAINTE CATHERINE,0,0
-0.5735766,44.837032400483,node/4552082091,sports,Decathlon,Decathlon,132 RUE SAINTE CATHERINE,33000,RUE SAINTE CATHERINE,0,0
-0.5589901,44.8723517004799,node/659863416,doityourself,Réso Pro,,1 RUE BOUGAINVILLE,33300,RUE BOUGAINVILLE,0,0
-0.6141591,44.8516156004817,node/6225521446,dry_cleaning,Pressing,,7B RUE DE L EGLISE,33200,RUE DE L EGLISE,0,0
-0.5788915,44.8431532004824,node/7817517905,estate_agent,Barnes,,38 COURS GEORGES CLEMENCEAU,33000,COURS GEORGES CLEMENCEAU,0,0
-0.5601463,44.824672600484,node/6562732561,restaurant,Méditerranée,,50 RUE FURTADO,33800,RUE FURTADO,0,0
-0.5711232,44.8308479004835,node/7206102185,restaurant,Resto Chilien,,15 RUE ELIE GINTRAC,33000,RUE ELIE GINTRAC,0,0
-0.583506,44.8403021004827,node/7029042866,insurance,Groupama,Groupama,45 RUE GEORGES BONNAC,33000,RUE GEORGES BONNAC,0,0
-0.5713937,44.8345778004832,node/2414832421,restaurant,Spot B,,7 RUE DU MIRAIL,33000,RUE DU MIRAIL,0,0
-0.5677872,44.8309747004835,node/1879722840,restaurant,Tap Tim,,51 PLACE DES CAPUCINS,33800,PLACE DES CAPUCINS,0,0
-0.5768715,44.8420379004826,node/7795015780,jewelry,Joaillerie Tournis,,29 COURS DE L INTENDANCE,33000,COURS DE L INTENDANCE,0,0
-0.5749567,44.8410183004826,node/7767815596,pastry,Baillardran,,10 RUE DE LA PORTE DIJEAUX,33000,RUE DE LA PORTE DIJEAUX,0,0
-0.5693336,44.8356289004831,node/4599906454,convenience,Family shop,,3 RUE DES BOUCHERIES,33000,RUE DES BOUCHERIES,0,0
-0.6156265,44.8525192004816,node/6957843606,pastry,Maison Pillet,,167 AVENUE LOUIS BARTHOU,33000,AVENUE LOUIS BARTHOU,0,0
-0.5672736,44.8377110004829,node/930762038,restaurant,Pizza Luna,,43 QUAI RICHELIEU,33000,QUAI RICHELIEU,0,0
-0.5725222,44.8205746004844,node/8062556285,restaurant,Memestra,,249 COURS DE LA SOMME,33800,COURS DE LA SOMME,0,0
-0.5734126,44.8358070004831,node/569663304,pharmacy,Pharmacie du Centre,,164 RUE SAINTE CATHERINE,33000,RUE SAINTE CATHERINE,0,0
-0.598095,44.8316058004834,node/2391969579,hairdresser,La Coupe,,299 RUE D ORNANO,33000,RUE D ORNANO,0,0
-0.5725106,44.8285374004837,node/7255542066,laundry,Laverie de la Victoire,,51 COURS DE LA SOMME,33800,COURS DE LA SOMME,0,0
-0.5747228,44.8398101004827,node/5527709462,clothes,C&A,C&A,2 IMPASSE SAINTE CATHERINE,33000,IMPASSE SAINTE CATHERINE,0,0
-0.605172065286262,44.835129796237,way/156141630,dry_cleaning,Elis,,11 IMPASSE FAYE,33000,IMPASSE FAYE,0,0
-0.5515769,44.8674694004803,node/7082520281,restaurant,Osakyo,,61 RUE DELBOS,33300,RUE DELBOS,0,0
-0.5554767,44.8403967004827,node/2479279027,estate_agent,Aristimmo,,68 RUE DE LA BENAUGE,33100,RUE DE LA BENAUGE,0,0
-0.5693446,44.8792421004793,node/8585663650,fast_food,O'Tacos,O'Tacos,MAIL DES BORDELAIS,33000,DES BORDELAIS,0,0
-0.5695982,44.8383899004829,node/2567786022,bar,Chez Fred,,19 PLACE DU PALAIS,33000,PLACE DU PALAIS,0,0
-0.6126263,44.8324690004834,node/7358934377,cheese,Fromagerie de Saint-Augustin,,148 RUE EMILE COMBES,33000,RUE EMILE COMBES,0,0
-0.6157302,44.8522319004817,node/6795054292,bicycle,La MAMMA,,130 AVENUE LOUIS BARTHOU,33000,AVENUE LOUIS BARTHOU,0,0
-0.5585669,44.8611542004809,node/3062790846,supermarket,Intermarché Express,Intermarché,67B COURS EDOUARD VAILLANT,33300,COURS EDOUARD VAILLANT,0,0
-0.5698583,44.8396249004827,node/6350967381,restaurant,Le Petit Bec,,14 RUE DE LA COUR DES AIDES,33000,RUE DE LA COUR DES AIDES,0,0
-0.571893,44.837273600483,node/7814554485,fast_food,Khaan Burger,,18 PLACE FERNAND LAFARGUE,33000,PLACE FERNAND LAFARGUE,0,0
-0.5791212,44.8385180004828,node/2238500532,cafe,Aux Remp'Arts Cafe,,1 RUE MONTBAZON,33000,RUE MONTBAZON,0,0
-0.586553088753471,44.8295310049111,way/155601068,restaurant,Hutong,,178 RUE FRANCOIS DE SOURDIS,33000,RUE FRANCOIS DE SOURDIS,0,0
-0.5784864,44.8419077004826,node/7692345378,tea,Palais des Thés,Palais des Thés,55 COURS DE L INTENDANCE,33000,COURS DE L INTENDANCE,0,0
-0.5605227,44.8280098004837,node/7003653720,clothes,,,195 COURS DE LA MARNE,33800,COURS DE LA MARNE,0,0
-0.575861739278687,44.8417919020277,way/79980559,clothes,IKKS,,14 COURS DE L INTENDANCE,33000,COURS DE L INTENDANCE,1,0
-0.5725683,44.8412147004826,node/5841568786,restaurant,Pitaya,,42 RUE SAINT REMI,33000,RUE SAINT REMI,0,0
-0.5719442,44.8524293004817,node/3336460636,restaurant,La Cabane Cent Un,,7 RUE RODE,33000,RUE RODE,0,0
-0.5783318,44.8440676004824,node/7798524902,hifi,Devialet,Devialet,62 COURS GEORGES CLEMENCEAU,33000,COURS GEORGES CLEMENCEAU,0,0
-0.6051951,44.8309409004835,node/6987720053,driving_school,auto-école Saint Augustin,,24 RUE DU GRAND MAURIAN,33000,RUE DU GRAND MAURIAN,0,0
-0.5753045,44.8346323004832,node/7263197060,restaurant,Wok Way,,12 RUE PAUL LOUIS LANDE,33000,RUE PAUL LOUIS LANDE,0,0
-0.5740647,44.8551959004814,node/7279298512,copyshop,Ideokub,,29 RUE CAMILLE GODARD,33000,RUE CAMILLE GODARD,0,0
-0.5742658,44.8398976004827,node/7833725163,clothes,Celio,Celio,55 RUE SAINTE CATHERINE,33000,RUE SAINTE CATHERINE,1,0
-0.5708137,44.8521761004817,node/7741762086,alcohol,Beer Trotter,,84 RUE NOTRE DAME,33000,RUE NOTRE DAME,0,0
-0.568488,44.8300463004836,node/1752276962,bakery,Le Fournil des Capucins,,62 COURS DE LA MARNE,33800,COURS DE LA MARNE,0,0
-0.6123142,44.8324973004834,node/8127847676,clothes,Mariza Henguift,,36 RUE JENNY LEPREUX,33000,RUE JENNY LEPREUX,0,0
-0.5578957,44.8581269004812,node/1879657260,bicycle,Westside,,41 QUAI DE BACALAN,33300,QUAI DE BACALAN,0,0
-0.5822676,44.848046000482,node/7098348789,estate_agent,Laforêt,Laforêt,86 RUE FONDAUDEGE,33000,RUE FONDAUDEGE,0,0
-0.6195588,44.8522847004817,node/6225575943,educational_institution,Centre de Formation Nautique,,204 AVENUE LOUIS BARTHOU,33000,AVENUE LOUIS BARTHOU,0,0
-0.5796513,44.8441161004824,node/6279509185,restaurant,Nama,,24 RUE LAFAURIE DE MONBADON,33000,RUE LAFAURIE DE MONBADON,0,0
-0.5646856,44.8797526004793,node/7341388973,clothes,Zara,Zara,5 IMPASSE DUGUAY TROUIN 2,33000,IMPASSE DUGUAY TROUIN 2,1,0
-0.5992008,44.837262600483,node/7921835855,estate_agent,Intégral Immobilier,,11 BOULEVARD DU PRESIDENT WILSON,33000,BOULEVARD DU PRESIDENT WILSON,0,0
-0.629368571630713,44.8593662882275,way/156158665,optician,Optic 2000,Optic 2000,413 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY,33200,AVENUE DU MARECHAL DE LATTRE DE TASSIGNY,0,0
-0.5847037,44.8389844004828,node/8158152250,optician,ActuEyes,,9 RUE PERE DIEUZAIDE,33000,RUE PERE DIEUZAIDE,0,0
-0.555637758054877,44.8638227685415,way/177481600,nightclub,La Dame,,24 QUAI LAWTON,33300,QUAI LAWTON,0,0
-0.5721495,44.8290319004836,node/2544911688,clothes,KiloChic,,40 COURS DE LA SOMME,33800,COURS DE LA SOMME,0,0
-0.5630334,44.8256228004839,node/1896629422,car_repair,Flash auto,,26 RUE VILARIS,33800,RUE VILARIS,0,0
-0.5710192,44.8372075004829,node/3639340298,restaurant,L'oiseau Cabosse,,32 RUE SAINTE COLOMBE,33000,RUE SAINTE COLOMBE,0,0
-0.5685235,44.8283436004837,node/1723392217,clothes,Lou Canaillou,,38 COURS DE L YSER,33800,COURS DE L YSER,0,0
-0.5780569,44.8433179004824,node/7527122585,cafe,Le Café Gourmand,,3 RUE BUFFON,33000,RUE BUFFON,0,0
-0.5708247,44.8523934004817,node/7741811785,restaurant,Copa Rota,,87 RUE NOTRE DAME,33000,RUE NOTRE DAME,0,0
-0.5716573,44.8355471004831,node/2518438996,restaurant,Le Chat Gourmand,,3 RUE DE GUIENNE,33000,RUE DE GUIENNE,0,0
