"DEP","DEPCOM","Equipement","coord_geo"
"59","59350","Hôtel","(50.63468178352669, 3.070843568033069)"
"59","59350","Hôtel","(50.635612828970146, 3.0261055702719983)"
"59","59350","Hôtel","(50.63785077611573, 3.0726899048954355)"
"59","59350","Hôtel","(50.63822416827771, 3.0654761813430635)"
"59","59350","Hôtel","(50.63989836621916, 3.07563500746697)"
"59","59350","Hôtel","(50.638971369238085, 3.0768890208528266)"
"59","59350","Hôtel","(50.6363313423302, 3.0690876238946045)"
"59","59350","Hôtel","(50.63627251225202, 3.069175315302924)"
"59","59350","Hôtel","(50.63627134316476, 3.0691796881983486)"
"59","59350","Hôtel","(50.63614797805395, 3.0692856350342694)"
"59","59350","Hôtel","(50.635958138117914, 3.0696684927675766)"
"59","59350","Hôtel","(50.63582304229596, 3.0698877342460626)"
"59","59350","Hôtel","(50.63726136678911, 3.0685568965852905)"
"59","59350","Hôtel","(50.63730988984396, 3.068444070022987)"
"59","59350","Hôtel","(50.640497074564024, 3.0642513580006407)"
"59","59350","Hôtel","(50.636061514511205, 3.0669070645281735)"
"59","59350","Hôtel","(50.63556078772675, 3.067833073939581)"
"59","59350","Hôtel","(50.63791980698913, 3.0546224212613264)"
"59","59350","Hôtel","(50.634022283598746, 3.006691986148202)"
"59","59350","Hôtel","(50.63558704291026, 3.0828364734025024)"
"59","59350","Hôtel","(50.63495631250053, 3.0640588511720512)"
"59","59350","Hôtel","(50.63355424696714, 3.0632152276305162)"
"59","59350","Hôtel","(50.6423692650963, 3.068124814693254)"
"59","59350","Hôtel","(50.636755739355166, 3.0587953200797906)"
"59","59350","Hôtel","(50.62483512231954, 3.052905345061371)"
"59","59350","Hôtel","(50.63611083817687, 3.0656268152874695)"
"59","59350","Hôtel","(50.632563687289505, 3.06793245403131)"
"59","59350","Hôtel","(50.631431874918576, 3.068213122084134)"
"59","59350","Hôtel","(50.641776854406686, 3.066518109017169)"
"59","59350","Hôtel","(50.65320827634383, 2.983687475280024)"
"59","59350","Hôtel","(50.653426193262085, 2.982572230471804)"
"59","59350","Hôtel","(50.61215107708398, 3.0616071796871376)"
"59","59350","Hôtel","(50.646936688406775, 2.975132011699561)"
"59","59350","Hôtel","(50.646936688406775, 2.975132011699561)"
"59","59350","Hôtel","(50.63522688951741, 3.070035493587268)"
"59","59350","Hôtel","(50.636915641448574, 3.0679733378157894)"
"59","59350","Hôtel","(50.615364597429185, 3.037546403090902)"
"59","59350","Hôtel","(50.63673301248119, 3.062870112242416)"
"59","59350","Hôtel","(50.62569188018458, 3.1135721085851094)"
"59","59350","Hôtel","(50.63831607326831, 3.063030711833157)"
"59","59350","Hôtel","(50.62599940580809, 3.052181398558406)"
"59","59350","Hôtel","(50.635508487289215, 3.069901407577397)"
"59","59350","Hôtel","(50.63447036743503, 3.073287260984098)"
"33","33063","Hôtel","(44.88841453506, -0.5569659470916132)"
"33","33063","Hôtel","(44.88928941473217, -0.5667563477908945)"
"33","33063","Hôtel","(44.88928941473217, -0.5667563477908945)"
"33","33063","Hôtel","(44.85991511000339, -0.6299240134144337)"
"33","33063","Hôtel","(44.8419398034231, -0.5797912571252269)"
"33","33063","Hôtel","(44.83614703239303, -0.5830128606691011)"
"33","33063","Hôtel","(44.83595274173416, -0.583698382800159)"
"33","33063","Hôtel","(44.858944870767075, -0.5694106835939592)"
"33","33063","Hôtel","(44.84046324929918, -0.5799120727194604)"
"33","33063","Hôtel","(44.85020486300109, -0.5710624555614728)"
"33","33063","Hôtel","(44.82953258678327, -0.5556057119457325)"
"33","33063","Hôtel","(44.88907044248699, -0.5646144982510208)"
"33","33063","Hôtel","(44.82798281832058, -0.5561732260448118)"
"33","33063","Hôtel","(44.82648871970728, -0.5570111945628635)"
"33","33063","Hôtel","(44.84340243885421, -0.5731704461970439)"
"33","33063","Hôtel","(44.84175011354341, -0.5742574357272987)"
"33","33063","Hôtel","(44.840731218882425, -0.5787020602445692)"
"33","33063","Hôtel","(44.84125285030029, -0.5795739074595048)"
"33","33063","Hôtel","(44.843351482204504, -0.5799938950800317)"
"33","33063","Hôtel","(44.8446355466168, -0.576321639670415)"
"33","33063","Hôtel","(44.82946878617684, -0.5582044130765933)"
"33","33063","Hôtel","(44.828253887973226, -0.5568146265046037)"
"33","33063","Hôtel","(44.88976396947381, -0.5654898966680089)"
"33","33063","Hôtel","(44.88976396947381, -0.5654898966680089)"
"33","33063","Hôtel","(44.8444887723031, -0.5816551601117852)"
"33","33063","Hôtel","(44.890869298562556, -0.564728814083895)"
"33","33063","Hôtel","(44.890869298562556, -0.564728814083895)"
"33","33063","Hôtel","(44.890869298562556, -0.564728814083895)"
"33","33063","Hôtel","(44.89295223523548, -0.555985794016244)"
"33","33063","Hôtel","(44.841249014272115, -0.5779610768375533)"
"33","33063","Hôtel","(44.84304897225077, -0.5738472205762861)"
"33","33063","Hôtel","(44.827076240657874, -0.5567723290822344)"
"33","33063","Hôtel","(44.825956068253504, -0.5581184822998931)"
"33","33063","Hôtel","(44.842382819258034, -0.5782955626638235)"
"33","33063","Hôtel","(44.834029551792106, -0.5913456148234585)"
"33","33063","Hôtel","(44.839846170512565, -0.5866817894775068)"
"33","33063","Hôtel","(44.839054480240954, -0.5883653481975017)"
"33","33063","Hôtel","(44.84405028875588, -0.5748980727126701)"
"33","33063","Hôtel","(44.844767766151186, -0.5790708691408015)"
"33","33063","Hôtel","(44.844669175190205, -0.5791907604520298)"
"33","33063","Hôtel","(44.829988551989715, -0.5428213002132154)"
"33","33063","Hôtel","(44.84229720781662, -0.5758892989989313)"
"33","33063","Hôtel","(44.8423147380349, -0.5786737920639056)"
"33","33063","Hôtel","(44.85053990818853, -0.5718979224295514)"
"33","33063","Hôtel","(44.84055445637393, -0.5740101771563165)"
"33","33063","Hôtel","(44.84106617239321, -0.5747153996357839)"
"33","33063","Hôtel","(44.839103807638516, -0.586422441570503)"
"33","33063","Hôtel","(44.829780543851, -0.5594450621106087)"
"33","33063","Hôtel","(44.8413691479758, -0.5711016269057462)"
"33","33063","Hôtel","(44.841289122430325, -0.5721593449073261)"
"59","59350","Enseignement supérieur","(50.63506776144175, 3.067468768259016)"
"59","59350","Enseignement Secondaire","(50.63903167428389, 3.0722595023050516)"
"59","59350","Enseignement supérieur","(50.61242206398988, 3.0301796248074355)"
"59","59350","Enseignement supérieur","(50.64636012827453, 3.062000598176989)"
"59","59350","Enseignement Secondaire","(50.61365842411939, 3.0767704472592214)"
"59","59350","École maternelle","(50.635940363843986, 3.042449346512776)"
"59","59350","École maternelle","(50.63064308847742, 3.0135199361285587)"
"59","59350","Enseignement supérieur","(50.61089407097183, 3.0385495365028263)"
"59","59350","Enseignement Secondaire","(50.64140355795547, 2.99032006736332)"
"59","59350","École maternelle","(50.61995142745019, 3.0311603332862767)"
"59","59350","Enseignement supérieur","(50.637038824062714, 3.0732402079805663)"
"59","59350","Enseignement supérieur","(50.65199002681129, 2.9711898100691987)"
"59","59350","Enseignement Secondaire","(50.63974374645394, 3.066700286661421)"
"59","59350","Enseignement Secondaire","(50.61704676083293, 3.0683106686912396)"
"59","59350","Enseignement Secondaire","(50.61712862126663, 3.0663006847087897)"
"59","59350","École maternelle","(50.61800279234822, 3.075620379540797)"
"59","59350","Enseignement supérieur","(50.63696838804668, 3.052899782994646)"
"59","59350","Enseignement supérieur","(50.61816639463359, 3.054579783606161)"
"59","59350","Enseignement supérieur","(50.628969390224064, 3.075830187964891)"
"59","59350","Enseignement Secondaire","(50.62909822360738, 3.070409591528618)"
"59","59350","Enseignement supérieur","(50.628289066636206, 3.0729495001579763)"
"59","59350","Enseignement supérieur","(50.62794900003249, 3.071299667466658)"
"59","59350","Enseignement supérieur","(50.62770662304338, 3.071420659963632)"
"59","59350","Enseignement supérieur","(50.62431866461928, 3.0423294829147114)"
"59","59350","Enseignement Secondaire","(50.620116771831306, 3.0474805552897006)"
"59","59350","Enseignement supérieur","(50.632600479819814, 3.046520159750938)"
"59","59350","Enseignement supérieur","(50.63485213473148, 3.048829378975204)"
"59","59350","Enseignement supérieur","(50.633900866767206, 3.048819987655421)"
"59","59350","Enseignement supérieur","(50.63316542306588, 3.0476706834107192)"
"59","59350","Enseignement supérieur","(50.63330970480909, 3.04582940349272)"
"59","59350","Enseignement supérieur","(50.633103226063454, 3.046019705683886)"
"59","59350","Enseignement supérieur","(50.633426180729494, 3.046340310131265)"
"59","59350","Enseignement supérieur","(50.63350692702266, 3.0463996488635603)"
"59","59350","Enseignement supérieur","(50.64190021419347, 3.0907995045781127)"
"59","59350","Enseignement supérieur","(50.633174997751084, 3.0460804463280144)"
"59","59350","Enseignement supérieur","(50.63282512673951, 3.0457400661574736)"
"59","59350","Enseignement supérieur","(50.6325284594155, 3.0471197788600666)"
"59","59350","Enseignement supérieur","(50.6315237325403, 3.04607046525258)"
"59","59350","Enseignement supérieur","(50.652142608422395, 2.971289944441192)"
"59","59350","Enseignement supérieur","(50.63140708186701, 3.0460294394206313)"
"59","59350","Enseignement supérieur","(50.630958251390915, 3.0463394439597553)"
"59","59350","Enseignement supérieur","(50.63151476976017, 3.0460394150972525)"
"59","59350","École maternelle","(50.62153802543617, 3.0605394936233994)"
"59","59350","Enseignement supérieur","(50.621010007024694, 3.0574395448465896)"
"59","59350","École maternelle","(50.61965694276114, 3.05276023585439)"
"59","59350","Enseignement supérieur","(50.61875943272654, 3.0529102315925414)"
"59","59350","Enseignement Secondaire","(50.64129586388325, 3.0674700804897173)"
"59","59350","Enseignement supérieur","(50.61413441430278, 3.0368001709076173)"
"59","59350","Enseignement supérieur","(50.61421518503023, 3.036800230070327)"
"59","59350","Enseignement supérieur","(50.61434096386459, 3.036340494454965)"
"59","59350","Enseignement supérieur","(50.612494151081776, 3.0289596179095524)"
"59","59350","Enseignement supérieur","(50.614035679863086, 3.036849466296787)"
"59","59350","Enseignement supérieur","(50.61944281421883, 3.068549506803827)"
"59","59350","Enseignement supérieur","(50.61954148330327, 3.068639923746854)"
"59","59350","École maternelle","(50.63262480618084, 3.1082696174857296)"
"59","59350","Enseignement Secondaire","(50.642896060651736, 3.0621106373148996)"
"59","59350","Enseignement Secondaire","(50.64245734097901, 3.0600495898108884)"
"59","59350","École maternelle","(50.6271015338503, 3.061790589554347)"
"59","59350","Enseignement Secondaire","(50.64774779440466, 2.9855001436875015)"
"59","59350","École maternelle","(50.64948881239515, 2.98592026841262)"
"59","59350","École maternelle","(50.64181644550059, 2.9913502267153973)"
"59","59350","Enseignement Secondaire","(50.63161761249971, 3.057650627802939)"
"59","59350","École maternelle","(50.637491381893675, 3.066399539044557)"
"59","59350","École maternelle","(50.637257600125345, 3.007999855284402)"
"59","59350","Enseignement Secondaire","(50.61476171265493, 3.077700259857268)"
"59","59350","Enseignement supérieur","(50.62993723817482, 3.0404505965890825)"
"59","59350","Enseignement Secondaire","(50.630232985473555, 3.041675548862062)"
"59","59350","École maternelle","(50.62231887956058, 3.0376497885159934)"
"59","59350","Enseignement Secondaire","(50.610754598221085, 3.0701300109238185)"
"59","59350","École maternelle","(50.63188901346393, 3.097310139640252)"
"59","59350","Enseignement supérieur","(50.63188715289493, 3.0739904062719114)"
"59","59350","Enseignement supérieur","(50.63207514034002, 3.074779439556259)"
