nom,validations
ABBESSES,2912.0
ABLON,931.0
ACHERES GRAND CORMIER,66.0
ACHERES VILLE,4161.0
AEROPORT CHARLES DE GAULLE 1,5327.0
AEROPORT CHARLES DE GAULLE 2 TGV,6266.0
ALESIA,9786.0
ALEXANDRE DUMAS,7354.0
ALLEE DE LA TOUR RENDEZ VOUS,161.0
ALMA MARCEAU,7009.0
ANATOLE FRANCE,6992.0
ANDRESY,384.0
ANGERVILLE,160.0
ANVERS,8158.0
ARBORETUM,78.0
ARGENTEUIL,11862.0
ARGENTINE,6039.0
ARPAJON,1079.0
ARTS ET METIERS,6813.0
ASNIERES,6012.0
ASSEMBLEE NATIONALE,2033.0
ATHIS MONS,1278.0
AUBERGENVILLE ELISABETHVILLE,1354.0
AUBERVILLIERS PANTIN,18230.0
AULNAY SOUS BOIS,13451.0
AUSTERLITZ,21493.0
AUVERS SUR OISE,75.0
AVENUE DU PRESIDENT KENNEDY,1873.0
AVENUE EMILE ZOLA,3284.0
AVENUE FOCH,1169.0
AVENUE HENRI MARTIN,1306.0
AVRON,3949.0
BAGNEUX SUR LOING,62.0
BALARD,11252.0
BALLANCOURT,259.0
BARBES ROCHECHOUART,15824.0
BASILIQUE DE SAINT DENIS,8657.0
BASTILLE,24386.0
BECON LES BRUYERES,5580.0
BEL AIR,4921.0
BELLEVILLE,20546.0
BELLEVUE,1038.0
BELLOY SAINT MARTIN,125.0
BERAULT,9066.0
BERCY,11659.0
BESSANCOURT,487.0
BEYNES,121.0
BIBLIOTHEQUE FRANCOIS MITTERRAND,31240.0
BIEVRES,344.0
BILLANCOURT,6258.0
BIR HAKEIM,8913.0
BLANC MESNIL,4083.0
BLANCHE,5628.0
BOBIGNY PABLO PICASSO,17132.0
BOBIGNY PANTIN,6429.0
BOIGNEVILLE,29.0
BOIS COLOMBES,4466.0
BOIS LE ROI,645.0
BOISSIERE,3458.0
BOISSISE LE ROI,97.0
BOISSY L AILLERIE,117.0
BOLIVAR,1108.0
BONDY,5851.0
BONNE NOUVELLE,9090.0
BONNIERES,358.0
BOTZARIS,2064.0
BOUCICAUT,6387.0
BOUFFEMONT MOISSELLES,581.0
BOUGIVAL,595.0
BOULAINVILLIERS,1798.0
BOULEVARD VICTOR,2615.0
BOULOGNE JEAN JAURES,7065.0
BOULOGNE PONT DE SAINT CLOUD,6099.0
BOURAY,1287.0
BOURGET T11,2306.0
BOURRON MARLOTTE GREZ,76.0
BOURSE,7013.0
BOUSSY SAINT ANTOINE,3221.0
BOUTIGNY SUR ESSONNE,125.0
BREGUET SABIN,3847.0
BRETIGNY,6644.0
BREUILLET BRUYERES LE CHATEL,309.0
BREUILLET VILLAGE,383.0
BREVAL,219.0
BROCHANT,5796.0
BRUNOY,3023.0
BRUYERES SUR OISE,65.0
BUNO GIRONVILLE,43.0
BUTTES CHAUMONT,1140.0
BUZENVAL,4044.0
CADET,6030.0
CAMBRONNE,6176.0
CAMPO FORMIO,3151.0
CARDINAL LEMOINE,2994.0
CARREFOUR PLEYEL,5331.0
CENSIER DAUBENTON,7368.0
CERGY LE HAUT,7014.0
CERGY PREFECTURE,12867.0
CERGY SAINT CHRISTOPHE,4884.0
CERNAY,2070.0
CESSON,1124.0
CHAMARANDE,149.0
CHAMP DE COURSES D ENGHIEN,1886.0
CHAMP DE MARS TOUR EIFFEL,4708.0
CHAMPAGNE SUR OISE,195.0
CHAMPAGNE SUR SEINE,281.0
CHAMPBENOIST POIGNY,135.0
CHAMPS ELYSEES CLEMENCEAU,6813.0
CHANGIS SAINT JEAN,197.0
CHANTELOUP LES VIGNES,491.0
CHAPONVAL,34.0
CHARDON LAGACHE,1416.0
CHARENTON ECOLES,5813.0
CHARLES DE GAULLE ETOILE,11055.0
CHARLES MICHELS,9672.0
CHARONNE,8188.0
CHARS,133.0
CHARTRETTES,31.0
CHATEAU D EAU,8075.0
CHATEAU DE VINCENNES,15038.0
