IRIS,Population Active,Pop 15-24,Pop 25-54,Pop 55-64,Revenus Q1,Revenus Medians,Revenus Q3
330630101,1330,272,958,99,14280.0,18990.0,25230.0
330630103,3369,764,2168,438,11000.0,14050.0,19020.0
330630201,1229,357,740,132,12850.0,18660.0,24810.0
330630202,3655,908,2346,401,14500.0,20700.0,28170.0
330630203,1730,328,1021,381,13260.0,17700.0,23570.0
330630204,910,226,502,182,11490.0,14750.0,18970.0
330630301,4725,1233,3019,473,14490.0,20280.0,28840.0
330630302,2943,774,1872,297,15840.0,23440.0,35530.0
330630303,2883,849,1803,232,14460.0,19500.0,26830.0
330630305,1754,254,1146,354,11880.0,15370.0,19840.0
330630306,1655,377,1027,251,11530.0,15370.0,20210.0
330630307,1867,397,1178,291,12340.0,17610.0,25430.0
330630308,1590,354,972,265,11670.0,15460.0,21960.0
330630309,1659,352,1093,215,20030.0,29660.0,44490.0
330630310,1596,353,1010,233,20450.0,29270.0,41170.0
330630311,1644,379,1069,196,16650.0,25060.0,36290.0
330630312,2156,467,1425,264,17290.0,24820.0,34220.0
330630313,2546,487,1675,384,14830.0,20670.0,27860.0
330630401,2617,683,1580,354,15210.0,21370.0,30500.0
330630402,1814,421,1147,247,17350.0,24390.0,33740.0
330630403,2803,519,1966,318,16880.0,23940.0,31450.0
330630404,1948,454,1177,316,10800.0,13900.0,18100.0
330630405,2713,668,1768,277,15390.0,21870.0,29990.0
330630501,2319,849,1288,182,14410.0,21630.0,32220.0
330630502,3878,1386,2239,253,14490.0,20880.0,31520.0
330630503,1526,611,802,112,17830.0,26290.0,39680.0
330630504,1779,628,1025,126,14540.0,21620.0,30600.0
330630505,2516,863,1484,169,13750.0,20380.0,29700.0
330630506,2282,765,1270,247,18160.0,27540.0,41140.0
330630507,1835,551,1099,185,20620.0,32620.0,49380.0
330630508,1858,878,859,121,13660.0,20430.0,30780.0
330630601,2272,644,1360,268,18810.0,27480.0,41030.0
330630602,1376,266,904,207,20620.0,30790.0,45240.0
330630603,1566,417,957,193,19940.0,27760.0,40570.0
