ode,nom,validations
M1,MAIRIE D'HELLEMMES,3197.8986301369864
M1,PONT DE BOIS,6604.649315068493
M1,PORTE DES POSTES,3887.7424657534248
M1,4 CANTONS STADE PIERRE MAUROY,3595.698630136986
M1,GAMBETTA,6500.8876712328765
M1,CHU CENTRE OSCAR LAMBRET,3379.276712328767
M1,TRIOLO,2019.3698630136987
M1,FIVES,4834.506849315068
M1,RIHOUR,9150.65205479452
M1,MARBRERIE,2834.213698630137
M1,CITE SCIENTIFIQUE PR GABILLARD,5221.797260273973
M1,SQUARE FLANDRES,920.0246575342466
M1,V D'ASCQ HOTEL DE VILLE,6831.049315068493
M1,CAULIER,2927.246575342466
M1,CHU EURASANTE,7730.742465753425
M1,WAZEMMES,3443.539726027397
M1,REPUBLIQUE BEAUX ARTS,10788.660273972602
M1 et M2,GARE LILLE FLANDRES,36556.28493150685
M2,EUROTELEPORT,6285.479452054795
M2,C.H. DRON,1009.3972602739726
M2,JEAN LEBAS ROUBAIX,2298.5835616438358
M2,PHALEMPINS,1231.9835616438356
M2,ALSACE,968.0301369863014
M2,MAISON DES ENFANTS,994.0465753424658
M2,CROIX CENTRE,1386.323287671233
M2,PONT DE NEUVILLE,1245.2630136986302
M2,LILLE GRAND PALAIS,2681.2520547945205
M2,GARE DE TOURCOING,1440.164383561644
M2,CHARLES DE GAULLE,1323.2931506849316
M2,ST MAURICE PELLEVOISIN,2703.3972602739727
M2,FORT DE MONS,2295.0246575342467
M2,MAIRIE DE LILLE,2539.860273972603
M2,BOIS BLANCS,2207.2383561643837
M2,MAIRIE DE CROIX,1395.0684931506848
M2,LOMME BOURG,1246.827397260274
M2,MITTERIE,994.7123287671233
M2,MONS SARTS,1986.5479452054794
M2,EPEULE MONTESQUIEU,1854.6849315068494
M2,LILLE PORTE DE DOUAI,7126.860273972603
M2,WASQUEHAL HOTEL DE VILLE,940.654794520548
M2,COLBERT,1886.7369863013698
M2,MONTEBELLO,1679.7945205479452
M2,PORTE DES POSTES,3209.917808219178
M2,PORTE DE VALENCIENNES,2443.3068493150686
M2,GARE LILLE EUROPE,4020.7287671232875
M2,LOMME SAINT PHILIBERT,3291.621917808219
M2,WASQUEHAL PAVE DE LILLE,1123.123287671233
M2,JEAN JAURES,1244.7452054794521
M2,PORT DE LILLE,1854.2109589041097
M2,BOURGOGNE,810.6767123287672
M2,MAIRIE DE MONS,1910.5534246575342
M2,CANTELEU,2222.9945205479453
M2,LILLE PORTE D'ARRAS,4004.5342465753424
M2,CARLIERS,879.7150684931507
M2,MERCURE,483.758904109589
M2,LOMME LAMBERSART ARTHUR NOTEBART,2490.7424657534248
M2,PONT SUPERIEUR,871.2986301369863
M2,TOURCOING CENTRE,3571.619178082192
M2,LES PRES   EDGAR PISANI,1481.7150684931507
M2,ROUBAIX GRAND PLACE,1875.123287671233
M2,CORMONTAIGNE,4742.7479452054795
TRAM,MA CAMPAGNE,342.72328767123287
TRAM,VILLA CAVROIS,386.0904109589041
TRAM,VICTOIRE,309.2082191780822
TRAM,BOL D'AIR,123.11232876712329
TRAM,CROISE LAROCHE,1087.4246575342465
TRAM,HOPITAL VICTOR PROVO,448.94246575342464
TRAM,BROSSOLETTE,565.7260273972603
TRAM,CHATEAU ROUGE,362.6246575342466
TRAM,FAIDHERBE,277.14520547945204
TRAM,WASQUEHAL PAVE DE LILLE,482.027397260274
TRAM,CLEMENCEAU HIPPODROME,681.2465753424658
TRAM,ACACIAS,185.47671232876712
TRAM,FOCH,155.7041095890411
TRAM,PLANCHE EPINOY,147.2876712328767
TRAM,TOURCOING CENTRE,1043.7917808219179
TRAM,ROMARIN,1652.2986301369863
TRAM,GARE LILLE FLANDRES,7305.194520547945
TRAM,PONT DE WASQUEHAL,126.88493150684931
TRAM,GRAND COTTIGNIES,289.32876712328766
TRAM,LA MARQUE,145.2219178082192
TRAM,LA TERRASSE,130.86849315068494
TRAM,LE QUESNE,182.4958904109589
TRAM,LE SART,192.51232876712328
TRAM,PARC BARBIEUX,333.2986301369863
TRAM,BUISSON,1597.6246575342466
TRAM,EUROTELEPORT,855.9506849315069
TRAM,SAINT MAUR,1597.3397260273973
TRAM,JEAN MOULIN,162.74246575342465
TRAM,TRIEZ,163.27123287671233
TRAM,CERISAIE CENTRE D'AFFAIRES,176.82739726027398
TRAM,TROIS SUISSES,496.94794520547947
TRAM,BOTANIQUE,838.1616438356165
TRAM,GARE LILLE EUROPE,772.7260273972603
TRAM,PONT HYDRAULIQUE,158.53424657534248
TRAM,ALFRED MONGY,227.4931506849315
TRAM,CARTELOT,447.27671232876713
