Type,Arrêt,tag,acces_handi,coord_geo
metro,Malakoff - Rue Étienne Dolet,station,,"(48.815329, 2.2969858)"
rer,Le Bourget,station,yes,"(48.9308009, 2.4257459)"
tram,La Défense - Grande Arche,tram_stop,yes,"(48.8929638, 2.2378749)"
tram,Parc de Saint-Cloud,tram_stop,yes,"(48.8434202, 2.2219634)"
metro,Les Sablons,station,yes,"(48.8809365, 2.2722281)"
metro,George V,station,no,"(48.8720617, 2.3004148)"
metro,Franklin D. Roosevelt,station,no,"(48.8690339, 2.3099266)"
metro,Tuileries,station,no,"(48.864244, 2.330436)"
metro,Louvre — Rivoli,station,no,"(48.8608027, 2.3411235)"
metro,Châtelet,station,no,"(48.8587782, 2.3474106)"
metro,Saint-Paul,station,no,"(48.8553907, 2.3604173)"
metro,Reuilly — Diderot,station,no,"(48.8473591, 2.3868055)"
metro,Porte de Vincennes,station,no,"(48.8473335, 2.4080861)"
tram,Musée de Sèvres,tram_stop,yes,"(48.8287506, 2.2253263)"
metro,Marcel Sembat,station,no,"(48.8336468, 2.2435931)"
metro,La Motte-Picquet - Grenelle,station,limited,"(48.8489809, 2.2981916)"
metro,Cambronne,station,no,"(48.8475232, 2.3029457)"
metro,Dupleix,station,no,"(48.8504095, 2.2936611)"
rer,Gennevilliers,station,yes,"(48.9336382, 2.3075385)"
rer,Arcueil - Cachan,station,yes,"(48.7986105, 2.3280777)"
metro,Mairie d'Issy,station,no,"(48.8241474, 2.2731713)"
metro,Corentin Celton,station,no,"(48.8270526, 2.2793746)"
metro,Convention,station,no,"(48.8373115, 2.2966255)"
metro,La Défense - Grande Arche,station,yes,"(48.8916906, 2.2386641)"
rer,Invalides,station,yes,"(48.8628261, 2.3138373)"
rer,Bry-sur-Marne,station,yes,"(48.8446359, 2.5261501)"
rer,Noisy-Champs,station,yes,"(48.8429677, 2.580981)"
rer,Les Noues,station,,"(49.0323514, 2.4765282)"
tram,Meudon-sur-Seine,tram_stop,yes,"(48.8191867, 2.2391994)"
metro,Porte d'Orléans,station,yes,"(48.8236353, 2.3256519)"
metro,Alésia,station,no,"(48.8280318, 2.3270406)"
metro,Mouton-Duvernet,station,no,"(48.8312847, 2.3298549)"
metro,Denfert-Rochereau,station,limited,"(48.8342613, 2.3326258)"
metro,Raspail,station,no,"(48.8388977, 2.3306662)"
metro,Saint-Jacques,station,no,"(48.8330168, 2.3366295)"
metro,Glacière,station,no,"(48.8311288, 2.3434842)"
metro,Corvisart,station,no,"(48.8298121, 2.3505357)"
metro,Place d'Italie,station,no,"(48.8309424, 2.3559375)"
metro,Nationale,station,no,"(48.8332293, 2.362847)"
metro,Chevaleret,station,no,"(48.8349584, 2.3680641)"
metro,Quai de la Gare,station,no,"(48.8370598, 2.3728539)"
metro,Stalingrad,station,yes,"(48.8842416, 2.3670741)"
rer,Émerainville — Pontault-Combault,station,no,"(48.8061137, 2.6184463)"
rer,Les Yvris-Noisy-le-Grand,station,no,"(48.8231687, 2.5797647)"
rer,Les Boullereaux - Champigny,station,,"(48.8248575, 2.5118822)"
rer,Noisy-le-Grand — Mont d’Est,station,yes,"(48.8407958, 2.5477591)"
rer,Marne-la-Vallée Chessy - Parcs Disneyland (RER),station,yes,"(48.8698376, 2.782202)"
metro,Nation,station,no,"(48.847611, 2.3955668)"
metro,Château de Vincennes,station,no,"(48.8445799, 2.438912)"
metro,Bérault,station,no,"(48.8454473, 2.4292637)"
rer,Fontenay-sous-Bois,station,limited,"(48.8437078, 2.4637379)"
rer,Rosny - Bois-Perrier,station,,"(48.8825387, 2.4812324)"
metro,Buttes Chaumont,station,no,"(48.8783961, 2.3812008)"
metro,Bolivar,station,,"(48.8809263, 2.3739077)"
metro,Buzenval,station,no,"(48.8518166, 2.4013757)"
metro,Saint-Mandé,station,no,"(48.846435, 2.4184422)"
metro,Ménilmontant,station,no,"(48.8667079, 2.3833739)"
metro,Père Lachaise,station,,"(48.8629496, 2.3874348)"
metro,Philippe Auguste,station,no,"(48.8582563, 2.3901666)"
metro,Alexandre Dumas,station,no,"(48.8563062, 2.3944977)"
metro,Belleville,station,no,"(48.872053, 2.3769446)"
metro,Couronnes,station,no,"(48.869062, 2.3804698)"
metro,Colonel Fabien,station,no,"(48.8774215, 2.3710197)"
metro,Blanche,station,no,"(48.8834886, 2.3336343)"
metro,Place de Clichy,station,no,"(48.8834466, 2.3272634)"
metro,Rome,station,no,"(48.8822428, 2.3213306)"
metro,Villiers,station,no,"(48.8811192, 2.3149051)"
metro,Monceau,station,no,"(48.8802919, 2.3085925)"
metro,Porte Dauphine,station,no,"(48.871318, 2.2777713)"
metro,Rue Saint-Maur,station,no,"(48.8643338, 2.3794812)"
metro,Parmentier,station,no,"(48.8653786, 2.3739112)"
metro,Temple,station,no,"(48.8665004, 2.360708)"
metro,Arts et Métiers,station,no,"(48.8654414, 2.3561316)"
metro,Bourse,station,no,"(48.8686296, 2.3414739)"
metro,Quatre Septembre,station,no,"(48.8695954, 2.3359026)"
metro,Opéra,station,no,"(48.8706446, 2.33233)"
metro,Havre - Caumartin,station,no,"(48.8736792, 2.3273189)"
metro,Malesherbes,station,no,"(48.8828567, 2.3092267)"
metro,Wagram,station,no,"(48.884005, 2.3037188)"
metro,Pereire,station,no,"(48.8848146, 2.2982736)"
metro,Porte de Champerret,station,no,"(48.8859272, 2.2934906)"
metro,Vaugirard,station,no,"(48.8395785, 2.3012923)"
metro,Volontaires,station,no,"(48.8415194, 2.3080031)"
metro,Falguière,station,no,"(48.8444916, 2.317965)"
metro,Duroc,station,no,"(48.8468544, 2.3166375)"
metro,Saint-François-Xavier,station,no,"(48.851398, 2.3144012)"
metro,Varenne,station,no,"(48.8568023, 2.3150585)"
rer,Torcy,station,yes,"(48.839553, 2.6543891)"
metro,Bel-Air,station,no,"(48.8413382, 2.4009317)"
rer,Corbeil-Essonnes,station,,"(48.6140087, 2.473565)"
rer,Maisse,station,,"(48.3936614, 2.3934402)"
rer,Buno - Gironville,station,,"(48.370847, 2.3871153)"
rer,Ballancourt,station,,"(48.5321637, 2.3711049)"
rer,Moulin-Galant,station,,"(48.5862473, 2.4734753)"
rer,Essonnes - Robinson,station,,"(48.6056156, 2.4626195)"
rer,Le Coudray - Montceaux,station,,"(48.5661679, 2.4924649)"
rer,Saint-Fargeau,station,,"(48.5644884, 2.5426438)"
rer,Ponthierry - Pringy,station,,"(48.535017, 2.5448933)"
rer,Melun,station,,"(48.5274833, 2.6551924)"
